question,answer,question_arm,answer_arm
what countries speak english primarily?,"The primary countries where English is spoken are the United States, United Kingdom, Canada, Australia, and New Zealand, among others.",ո՞ր երկրներն են հիմնականում խոսում անգլերեն:,"Հիմնական երկրները, որտեղ խոսում են անգլերենը, Միացյալ Նահանգներն են, Միացյալ Թագավորությունը, Կանադան, Ավստրալիան և Նոր Զելանդիան, ի թիվս այլոց:"
what states does the missouri river touch?,"The Missouri River touches the states of Montana, North Dakota, South Dakota, Nebraska, Iowa, Kansas, and Missouri.",ինչ նահանգների է հպվում Միսուրի գետը:,"Միսսուրի գետը հպվում է Մոնտանա, Հյուսիսային Դակոտա, Հարավային Դակոտա, Նեբրասկա, Այովա, Կանզաս և Միսուրի նահանգներին:"
what is in liverpool england?,"Liverpool, England is known for its rich musical history, being the birthplace of The Beatles. It is also home to a number of notable museums, art galleries, and landmarks such as the Royal Albert Dock and the Liverpool Cathedral.",ինչ կա Լիվերպուլում Անգլիայում,"Անգլիայի Լիվերպուլը հայտնի է իր հարուստ երաժշտական ​​պատմությամբ՝ լինելով The Beatles-ի ծննդավայրը: Այստեղ են գտնվում նաև մի շարք նշանավոր թանգարաններ, արվեստի պատկերասրահներ և տեսարժան վայրեր, ինչպիսիք են Թագավորական Ալբերտ նավահանգիստը և Լիվերպուլի տաճարը:"
what state is harvard college located?,Harvard College is located in Massachusetts.,ո՞ր նահանգում է գտնվում Հարվարդի քոլեջը:,Հարվարդի քոլեջը գտնվում է Մասաչուսեթսում։
where was leonardo da vinci when he died?,"Leonardo da Vinci died in Amboise, France.","որտեղ էր Լեոնարդո դա Վինչին, երբ մահացավ:",Լեոնարդո դա Վինչին մահացել է Ֆրանսիայի Ամբուազ քաղաքում։
what money do japanese use?,Japanese use the Japanese yen as their currency.,ինչ փողեր են օգտագործում ճապոնացիները,Ճապոնացիները որպես արժույթ օգտագործում են ճապոնական իենը:
what is the time zone in oklahoma city?,The time zone in Oklahoma City is Central Standard Time (CST).,ո՞րն է ժամային գոտին Օկլահոմա Սիթիում:,Օկլահոմա Սիթիում ժամային գոտին Կենտրոնական ստանդարտ ժամանակն է (CST):
what killed whitney houston?,Whitney Houston died from accidental drowning with the effects of heart disease and cocaine use contributing to her death.,ինչն է սպանել Ուիթնի Հյուսթոնին,"Ուիթնի Հյուսթոնը մահացել է պատահական ջրահեղձման հետևանքով սրտի հիվանդության և կոկաինի օգտագործման հետևանքով, որոնք նպաստել են նրա մահվանը:"
what kind of government did the mali empire have?,The Mali Empire had a centralized government ruled by a powerful king called the Mansa.,ինչպիսի՞ կառավարություն ուներ Մալիի կայսրությունը:,"Մալիի կայսրությունն ուներ կենտրոնացված կառավարություն, որը ղեկավարում էր հզոր թագավորը, որը կոչվում էր Մանսա:"
what is the religion of israel people?,The religion of Israel people is primarily Judaism.,ո՞րն է իսրայելցիների կրոնը:,Իսրայելի ժողովրդի կրոնը հիմնականում հուդայականությունն է:
what is mount st helens?,"Mount St. Helens is an active volcano located in Washington state, USA.",ինչ է Սուրբ Հելենոս լեռը:,"Սուրբ Հելենս լեռը գործող հրաբուխ է, որը գտնվում է ԱՄՆ Վաշինգտոն նահանգում։"
what airport is closest to sandals grande in st lucia?,The Hewanorra International Airport is the closest airport to Sandals Grande in St. Lucia.,Ո՞ր օդանավակայանն է Սենթ Լյուսիա-ի sandals grande ամենամոտ:,Hewanorra միջազգային օդանավակայանը Սանկտ Լյուսիայի Sandals Grande-ին ամենամոտ օդանավակայանն է:
which country is north of the usa?,Canada.,ո՞ր երկիրն է գտնվում ԱՄՆ-ից հյուսիս,Կանադա.
where does drew gordon play?,Drew Gordon currently plays for Pallacanestro Virtus Roma in Italy.,որտեղ է խաղում Դրյու Գորդոնը,Դրյու Գորդոնը ներկայումս խաղում է իտալական Pallacanestro Virtus Roma-ում:
who was the first russian president?,Boris Yeltsin.,ով է եղել Ռուսաստանի առաջին նախագահը.,Բորիս Ելցին.
what language does people in netherlands speak?,Dutch.,ինչ լեզվով են խոսում Նիդեռլանդներում:,հոլանդերեն.
what type of language does china speak?,Mandarin Chinese.,ինչ լեզվով է խոսում Չինաստանը:,Մանդարին չինարեն.
what countries around the world speak french?,"Canada, Belgium, Switzerland, Ivory Coast, Democratic Republic of Congo, Cameroon, Burkina Faso, Niger, Senegal, Mali, Rwanda, Madagascar, Guinea, Haiti, Chad, Benin, Togo, Central African Republic, Republic of Congo, Gabon, Comoros, Djibouti, Equatorial Guinea, Luxembourg, Vanuatu, Seychelles, Monaco, and the French overseas territories.",աշխարհի ո՞ր երկրներն են խոսում ֆրանսերեն:,"Կանադա, Բելգիա, Շվեյցարիա, Փղոսկրի Ափ, Կոնգոյի Դեմոկրատական ​​Հանրապետություն, Կամերուն, Բուրկինա Ֆասո, Նիգեր, Սենեգալ, Մալի, Ռուանդա, Մադագասկար, Գվինեա, Հաիթի, Չադ, Բենին, Տոգո, Կենտրոնական Աֆրիկյան Հանրապետություն, Կոնգոյի Հանրապետություն, Գաբոն, Կոմորներ , Ջիբութի, Հասարակածային Գվինեա, Լյուքսեմբուրգ, Վանուատու, Սեյշելներ, Մոնակո և Ֆրանսիայի անդրծովյան տարածքներ։"
who is esther hicks?,"Esther Hicks is an American inspirational speaker and author who channels a group of non-physical entities known as ""Abraham.""",ով է Էսթեր Հիքսը,"Էսթեր Հիքսը ամերիկացի ոգեշնչող խոսնակ է և հեղինակ, ով հեռարձակում է «Աբրահամ» անունով հայտնի ոչ ֆիզիկական անձանց խմբին:"
what does michael vick do?,Michael Vick is a former professional football player.,ինչ է անում Մայքլ Վիկը,Մայքլ Վիկը նախկին պրոֆեսիոնալ ֆուտբոլիստ է։
in which province is johannesburg?,Gauteng province.,ո՞ր նահանգում է գտնվում Յոհանեսբուրգը,Գաուտենգ նահանգ.
where was john lennon standing when he was shot?,"John Lennon was standing outside of his apartment building, The Dakota, in New York City when he was shot.","որտեղ էր Ջոն Լենոնը կանգնած, երբ նրան գնդակահարեցին:","Ջոն Լենոնը կանգնած է եղել Նյու Յորքի իր բնակելի շենքի՝ The Dakota-ի մոտ, երբ նրան կրակել են:"
what time do atlantic city bars close?,Atlantic City bars typically close at 3:00 a.m.,ժամը քանիսին են փակվում Ատլանտյան Սիթի բարերը:,Ատլանտիկ Սիթիի բարերը սովորաբար փակվում են առավոտյան ժամը 3:00-ին:
what state did al gore represent?,Al Gore represented the state of Tennessee.,ո՞ր պետությունն էր ներկայացնում Ալ Գորը,Ալ Գորը ներկայացնում էր Թենեսի նահանգը։
who voiced darth vader in revenge of the sith?,James Earl Jones.,Ո՞վ բարձրաձայնեց Դարտ Վեյդերը՝ վրեժ լուծելով սիթից:,Ջեյմս Էրլ Ջոնս.
what type of art is henri matisse famous for?,Henri Matisse is famous for his contributions to modern art and is known for his paintings and paper cut-outs.,Արվեստի ո՞ր տեսակով է հայտնի Անրի Մատիսը:,Անրի Մատիսը հայտնի է ժամանակակից արվեստի մեջ իր ներդրումով և հայտնի է իր նկարներով և թղթի կտրվածքով:
what to do in laughlin nevada?,"In Laughlin, Nevada, you can enjoy activities such as gambling, exploring the Colorado River, taking a river cruise, attending live shows and concerts, trying different dining options, and visiting nearby attractions like the Hoover Dam.",ինչ անել Լաֆլին Նևադայում:,"Լաֆլինում, Նևադա, դուք կարող եք վայելել այնպիսի գործողություններ, ինչպիսիք են մոլախաղերը, Կոլորադո գետը ուսումնասիրելը, գետով նավարկությունը, կենդանի շոուների և համերգների հաճախելը, ճաշի տարբեր տարբերակներ փորձելը և մոտակա տեսարժան վայրեր այցելելը, ինչպիսին է Հուվեր ամբարտակը:"
who plays princess padme in star wars?,Natalie Portman.,Ո՞վ է խաղում արքայադուստր Պադմի աստղային պատերազմներում:,Նատալի Պորտման.
where to ski in andorra reviews?,"You can check online platforms such as TripAdvisor, Yelp, or ski-specific websites like Snow-Online for reviews on ski resorts in Andorra.",որտեղ սահել Անդորրայում:,"Անդորրայի լեռնադահուկային հանգստավայրերի վերաբերյալ ակնարկների համար կարող եք ստուգել առցանց հարթակներ, ինչպիսիք են TripAdvisor, Yelp կամ դահուկների համար հատուկ կայքեր, ինչպիսիք են Snow-Online-ը:"
who was louis riel?,Louis Riel was a Métis leader and politician in Canada.,ով էր Լուիս Ռիլը,Լուի Ռիլը Մետիսի առաջնորդ և քաղաքական գործիչ էր Կանադայում:
what are the four nations of the uk?,"The four nations of the UK are England, Scotland, Wales, and Northern Ireland.",որո՞նք են Մեծ Բրիտանիայի չորս ազգերը:,"Մեծ Բրիտանիայի չորս երկրներն են՝ Անգլիան, Շոտլանդիան, Ուելսը և Հյուսիսային Իռլանդիան։"
who was judy garland married to?,"Judy Garland was married to Vincente Minnelli, Sid Luft, and Mark Herron.",ո՞ւմ հետ է ամուսնացել Ջուդի Գարլենդը,"Ջուդի Գարլենդն ամուսնացած էր Վինսենտե Մինելլիի, Սիդ Լաֆթի և Մարկ Հերոնի հետ։"
where is abraham lincoln hometown?,"Abraham Lincoln's hometown is Hodgenville, Kentucky.",որտեղ է Աբրահամ Լինքոլնի հայրենի քաղաքը:,Աբրահամ Լինքոլնի հայրենի քաղաքը Կենտուկի նահանգի Հոջենվիլն է:
what disease did helen keller?,"Helen Keller had a condition called scarlet fever, which caused her to lose her vision and hearing at a young age.",ի՞նչ հիվանդություն ուներ Հելեն Քելլերը:,"Հելեն Քելլերն ուներ կարմիր տենդ կոչվող հիվանդություն, որի պատճառով նա երիտասարդ տարիքում կորցրեց տեսողությունն ու լսողությունը։"
what is the name of money in brazil?,The name of money in Brazil is the Brazilian Real.,ինչ է փողի անունը Բրազիլիայում,Բրազիլիայում փողի անունը բրազիլական ռեալ է։
what year did lakers win championship?,The Lakers won the championship in 2020.,ո՞ր տարում Լեյքերները հաղթեցին առաջնությունում:,«Լեյքերսը» չեմպիոն է դարձել 2020 թվականին։
what did coolidge believe with regards to the role of government?,Calvin Coolidge believed in limited government and advocated for minimal government intervention in the economy.,ինչի՞ն էր հավատում Քուլիջը՝ կապված կառավարության դերի հետ:,Քելվին Քուլիջը հավատում էր սահմանափակ կառավարությանը և հանդես էր գալիս տնտեսության մեջ կառավարության նվազագույն միջամտության օգտին:
what is the atlanta braves mascot?,The Atlanta Braves mascot is named Blooper.,ինչ է Ատլանտա Բրեյվզ թալիսմանը:,Atlanta Braves թալիսմանը ստացել է Blooper անունը:
what type of government did england have during the glorious revolution?,England had a constitutional monarchy during the Glorious Revolution.,ինչպիսի՞ իշխանություն ուներ Անգլիան փառահեղ հեղափոխության ժամանակ։,Փառահեղ հեղափոխության ժամանակ Անգլիան ուներ սահմանադրական միապետություն։
who played dumbledore in the first movie?,Richard Harris played Dumbledore in the first movie.,առաջին ֆիլմում ո՞վ խաղաց Դամբլդորի դերը:,Ռիչարդ Հարիսն առաջին ֆիլմում մարմնավորել է Դամբլդորի դերը։
where was greenpeace an international environmental organization founded?,"Greenpeace was founded in Vancouver, Canada.",որտեղ է հիմնադրվել greenpeace միջազգային բնապահպանական կազմակերպությունը:,Greenpeace-ը հիմնադրվել է Կանադայի Վանկուվեր քաղաքում։
what does roger that mean?,"""Roger that"" is a phrase used in radio communication to indicate that a message has been received and understood.",ինչ է դա նշանակում Ռոջեր,"«Roger that» արտահայտությունն է, որն օգտագործվում է ռադիոհաղորդակցության մեջ՝ նշելու, որ հաղորդագրությունը ստացվել և հասկացվել է:"
what is the center of london called?,"The center of London is called the City of London or simply ""the City.""",ինչպես է կոչվում Լոնդոնի կենտրոնը,Լոնդոնի կենտրոնը կոչվում է Լոնդոնի քաղաք կամ պարզապես «Քաղաք»:
what was the first name of the washington redskins?,The first name of the Washington Redskins was the Boston Braves.,ո՞րն էր Վաշինգտոնի Ռեդսկինների առաջին անունը:,Վաշինգտոն Ռեդսկինսի առաջին անունը Բոստոն Բրեյվսն էր:
what sports do they do in canada?,"Hockey is the most popular sport in Canada. Other popular sports include lacrosse, Canadian football, basketball, and soccer.",ինչ սպորտով են նրանք զբաղվում Կանադայում:,"Հոկեյը Կանադայում ամենատարածված մարզաձևն է: Այլ հայտնի սպորտաձևերը ներառում են լաքրոսը, կանադական ֆուտբոլը, բասկետբոլը և ֆուտբոլը։"
who was the first leader of the afl?,The first leader of the AFL was Samuel Gompers.,ով է եղել ԱՖԼ-ի առաջին առաջնորդը.,AFL-ի առաջին առաջատարը Սամուել Գոմպերսն էր։
who is the arizona cardinals football coach?,The Arizona Cardinals' current football coach is Kliff Kingsbury.,ով է Արիզոնայի կարդինալների ֆուտբոլային մարզիչը:,Արիզոնա Կարդինալսի ներկայիս ֆուտբոլային մարզիչը Քլիֆ Քինգսբերին է։
when did tamu admit women?,TAMU admitted women in 1963.,ե՞րբ է թամուն ընդունել կանանց,TAMU-ն կանանց ընդունել է 1963թ.
where was the battle of waterloo held?,"The Battle of Waterloo was held in Waterloo, Belgium.",որտեղ է տեղի ունեցել Վաթերլոյի ճակատամարտը:,Բելգիայի Վաթերլոո քաղաքում տեղի ունեցավ Վաթերլոոյի ճակատամարտը։
what was marilyn monroe known for?,"Marilyn Monroe was known for her beauty, talent as an actress, and iconic status as a symbol of glamour and sex appeal.",Ինչո՞վ էր հայտնի Մերիլին Մոնրոն:,"Մերիլին Մոնրոն հայտնի էր իր գեղեցկությամբ, դերասանուհու տաղանդով և որպես գլամուրի և սեքսուալության խորհրդանիշի խորհրդանիշ:"
what has barack obama done wrong?,This is a subjective question and opinions may vary.,ի՞նչ է սխալ արել Բարաք Օբաման.,"Սա սուբյեկտիվ հարց է, և կարծիքները կարող են տարբեր լինել:"
which is faster amd dual core or intel dual core?,It depends on the specific models and specifications of the AMD and Intel dual core processors being compared.,որն է ավելի արագ amd dual core կամ intel dual core?,Դա կախված է համեմատվող AMD և Intel երկմիջուկ պրոցեսորների կոնկրետ մոդելներից և բնութագրերից:
where did lee corso go to college?,Lee Corso went to Florida State University.,որտե՞ղ գնաց Լի Կորսոն քոլեջ:,Լի Կորսոն գնաց Ֆլորիդայի պետական ​​համալսարան:
who are the colorado eagles?,"The Colorado Eagles are a professional ice hockey team based in Loveland, Colorado, and they are a member of the American Hockey League (AHL).",ովքեր են Կոլորադոյի արծիվները:,"Կոլորադո Իգլզը սառույցի հոկեյի պրոֆեսիոնալ թիմ է, որը հիմնված է Կոլորադոյի Լավլենդ քաղաքում, և նրանք Հոկեյի ամերիկյան լիգայի (AHL) անդամ են։"
what time period did jesus live in?,Jesus lived in the 1st century AD.,ո՞ր ժամանակաշրջանում է ապրել Հիսուսը,Հիսուսն ապրել է մ.թ. 1-ին դարում։
where does lala anthony live?,There is no publicly available information on where LaLa Anthony currently lives.,որտեղ է ապրում Լալա Էնթոնին,"Չկա հանրությանը հասանելի տեղեկատվություն այն մասին, թե ներկայումս որտեղ է ապրում Լա Լա Էնթոնին:"
what currency do they accept in kenya?,The currency accepted in Kenya is the Kenyan Shilling.,ինչ արժույթ են նրանք ընդունում Քենիայում:,Քենիայում ընդունված արժույթը Քենիայի շիլլինգն է։
what river did henry hudson sail up?,Henry Hudson sailed up the Hudson River.,Ո՞ր գետն է նավարկել Հենրի Հադսոնը:,Հենրի Հադսոնը նավարկեց Հադսոն գետով:
what currency is used in switzerland 2012?,Switzerland uses the Swiss Franc (CHF) as its currency.,ինչ արժույթ է օգտագործվում Շվեյցարիայում 2012 թ.,Շվեյցարիան որպես արժույթ օգտագործում է շվեյցարական ֆրանկը (CHF):
what do they speak in iran?,They speak Persian in Iran.,ինչ են խոսում Իրանում,Իրանում խոսում են պարսկերեն։
who did ayrton senna drive for?,"Ayrton Senna drove for several teams during his Formula One career, including Toleman, Lotus, and McLaren.",ո՞ւմ համար է այրթոն սեննան քշել,"Այրթոն Սեննան իր Ֆորմուլա 1-ի կարիերայի ընթացքում վարել է մի քանի թիմեր, այդ թվում՝ Տոլմանը, Լոտուսը և Մաքլարենը։"
what happened to madonna childhood home?,The fate of Madonna's childhood home is unknown.,ի՞նչ է պատահել Մադոննայի մանկության տանը.,Մադոննայի մանկության տան ճակատագիրն անհայտ է։
where is the best place to vacation in the dominican republic?,Punta Cana.,որտեղ է հանգստանալու լավագույն վայրը Դոմինիկյան հանրապետությունում:,Պունտա Կանա.
what made ancient rome fall?,"There were multiple factors that contributed to the fall of Ancient Rome, including internal decay, economic instability, invasions by barbarian tribes, and the division of the empire.",ինչն է ստիպել Հին Հռոմի անկմանը:,"Կային բազմաթիվ գործոններ, որոնք նպաստեցին Հին Հռոմի անկմանը, ներառյալ ներքին քայքայումը, տնտեսական անկայունությունը, բարբարոս ցեղերի արշավանքները և կայսրության բաժանումը:"
where was brad pitt born?,"Brad Pitt was born in Shawnee, Oklahoma, United States.",որտեղ է ծնվել Բրեդ Փիթը,"Բրեդ Փիթը ծնվել է Շոունիում, Օկլահոմա, ԱՄՆ։"
what position does vernon davis play?,Vernon Davis plays as a tight end.,Ինչ դիրք է խաղում Վերնոն Դևիսը:,Վերնոն Դևիսը խաղում է հենակետային դիրքում:
where is the euro 2012 tournament?,The Euro 2012 tournament was held in Poland and Ukraine.,որտեղ է Եվրո 2012-ի մրցաշարը.,Եվրո 2012-ի մրցաշարն անցկացվել է Լեհաստանում և Ուկրաինայում։
what time is right now in texas?,"I'm sorry, I am an AI assistant and I do not have real-time capabilities. Please check the current time in Texas using a reliable source or a clock.",հենց հիմա ժամը քանիսն է Տեխասում:,"Ներեցեք, ես արհեստական ​​ինտելեկտի օգնական եմ և իրական ժամանակի հնարավորություններ չունեմ: Խնդրում ենք ստուգել Տեխասի ընթացիկ ժամը՝ օգտագործելով հուսալի աղբյուր կամ ժամացույց:"
what to see and do in malta?,"In Malta, you can visit ancient temples, explore the historic city of Valletta, swim in the Blue Lagoon, and enjoy the beautiful beaches.",ինչ տեսնել և անել Մալթայում:,"Մալթայում կարող եք այցելել հնագույն տաճարներ, ուսումնասիրել պատմական Վալետտա քաղաքը, լողալ Կապույտ ծովածոցում և վայելել գեղեցիկ լողափերը:"
where did dolly parton grew up?,"Dolly Parton grew up in Locust Ridge, Tennessee.",որտեղ է մեծացել Դոլլի Պարթոնը,"Դոլլի Պարթոնը մեծացել է Լոկաստ Ռիջում, Թենեսիում:"
what state is rick santorum from?,Pennsylvania.,Ո՞ր նահանգից է Ռիկ Սանտորումը,Փենսիլվանիա.
what countries does queen elizabeth ii reign?,"Queen Elizabeth II reigns over the United Kingdom and 15 other Commonwealth realms, including Australia, Canada, and New Zealand.",Ո՞ր երկրներում է թագավորում Եղիսաբեթ II թագուհին:,"Եղիսաբեթ II թագուհին թագավորում է Միացյալ Թագավորության և Համագործակցության 15 այլ թագավորությունների վրա, ներառյալ Ավստրալիան, Կանադան և Նոր Զելանդիան:"
when did the aurora colorado shooting take place?,"The Aurora, Colorado shooting took place on July 20, 2012.",Ե՞րբ են տեղի ունեցել Ավրորա Կոլորադոյի նկարահանումները:,"Ավրորա, Կոլորադոյի հրաձգությունը տեղի է ունեցել 2012 թվականի հուլիսի 20-ին։"
what is jonas brothers names?,"Kevin, Joe, and Nick",ինչ է Ջոնաս եղբայրների անունները:,"Քևին, Ջո և Նիկ"
what art movements was henri matisse involved in?,Henri Matisse was involved in the Fauvism and Modernism art movements.,Արվեստի ո՞ր շարժումներում էր ներգրավված Հենրի Մատիսը:,Անրի Մատիսը ներգրավված էր ֆովիզմի և մոդեռնիզմի արվեստի շարժումներում։
what are some famous tourist attractions in germany?,"The Brandenburg Gate, Neuschwanstein Castle, and the Cologne Cathedral are some famous tourist attractions in Germany.",որո՞նք են Գերմանիայում հայտնի զբոսաշրջային վայրերը:,"Բրանդենբուրգի դարպասը, Նոյշվանշտայնի ամրոցը և Քյոլնի տաճարը Գերմանիայի որոշ հայտնի զբոսաշրջային վայրեր են:"
who's kobe bryant?,Kobe Bryant was a former professional basketball player.,ով է Քոբի Բրայանտը,Կոբի Բրայանտը նախկին պրոֆեսիոնալ բասկետբոլիստ էր։
what type of government system does saudi arabia have?,Saudi Arabia has an absolute monarchy government system.,ինչպիսի՞ կառավարման համակարգ ունի Սաուդյան Արաբիան:,Սաուդյան Արաբիան ունի բացարձակ միապետական ​​կառավարման համակարգ։
what countries did czechoslovakia become?,Czechoslovakia became the countries of Czech Republic and Slovakia.,ինչ երկրներ է դարձել Չեխոսլովակիան:,Չեխոսլովակիան դարձավ Չեխիայի և Սլովակիայի երկրները։
what songs did richard marx write?,"Richard Marx has written many songs, some of his famous hits include ""Right Here Waiting,"" ""Hazard,"" and ""Hold On to the Nights.""",ի՞նչ երգեր է գրել Ռիչարդ Մարքսը,"Ռիչարդ Մարքսը գրել է բազմաթիվ երգեր, նրա հայտնի հիթերից են «Right Here Waiting», «Hazard» և «Hold On to the Nights»:"
what did ryan dunn died from?,Ryan Dunn died in a car accident.,ինչի՞ց է մահացել Ռայան Դանը,Ռայան Դաննը մահացել է ավտովթարից.
what war was george washington associated with?,George Washington was associated with the American Revolutionary War.,ինչ պատերազմի հետ էր կապված Ջորջ Վաշինգթոնը:,Ջորջ Վաշինգտոնը կապված էր ամերիկյան հեղափոխական պատերազմի հետ:
where was zachary taylor elected from?,Zachary Taylor was elected from the state of Louisiana.,որտեղի՞ց է ընտրվել Զաքարի Թեյլորը.,Զաքարի Թեյլորն ընտրվել է Լուիզիանա նահանգից։
who does kris humphries play for in the nba?,Kris Humphries is currently not playing for any NBA team.,ո՞ւմ համար է խաղում nba-ում քրիս Համֆրիսը:,Քրիս Համֆրիսը ներկայումս չի խաղում NBA-ի ոչ մի թիմում:
where tupac grew up?,"Tupac grew up in East Harlem, New York City.",որտեղ է մեծացել Թուփակը,Թուփակը մեծացել է Նյու Յորքի Արևելյան Հարլեմ քաղաքում:
where did al capone go to jail?,Al Capone went to jail in Alcatraz.,որտե՞ղ է բանտ գնացել ալ Կապոնեն,Ալ Կապոնեն բանտ է նստել Ալկատրասում.
what type of music did richard wagner play?,Richard Wagner was a composer of classical music.,ի՞նչ երաժշտություն է նվագել Ռիչարդ Վագները:,Ռիխարդ Վագները դասական երաժշտության կոմպոզիտոր էր։
what do you call money in brazil?,The currency in Brazil is called the Brazilian Real.,ինչ եք անվանում փող Բրազիլիայում,Բրազիլիայում արժույթը կոչվում է բրազիլական ռեալ:
what team did tim tebow play for in college?,Tim Tebow played for the Florida Gators in college.,Ո՞ր թիմում է խաղացել Թիմ Թեբոուն քոլեջում:,Թիմ Թեբոուն քոլեջում խաղացել է Ֆլորիդա Գեյթորսում:
what airport in paris?,Charles de Gaulle Airport.,ո՞ր օդանավակայանը Փարիզում,Շառլ դը Գոլի օդանավակայան.
what nationality was andy williams?,American,ինչ ազգության էր Էնդի Ուիլյամսը:,ամերիկյան
where did matthew brady live?,Matthew Brady lived in New York City for most of his life.,որտեղ է ապրել Մեթյու Բրեդին,Մեթյու Բրեդին իր կյանքի մեծ մասն ապրել է Նյու Յորքում:
what ball does rickie fowler play?,Rickie Fowler plays with a Titleist Pro V1 golf ball.,ի՞նչ գնդակ է խաղում Ռիկի Ֆաուլերը:,Ռիկի Ֆաուլերը խաղում է Titleist Pro V1 գոլֆի գնդակով:
who are the broncos players?,The Broncos players are professional football players who play for the Denver Broncos team in the National Football League (NFL).,ովքեր են բրոնկոսի խաղացողները,"Broncos-ի խաղացողները պրոֆեսիոնալ ֆուտբոլիստներ են, ովքեր խաղում են Ֆուտբոլի ազգային լիգայի (NFL) Denver Broncos թիմի կազմում։"
where do most of the people live in japan?,Most people in Japan live in urban areas or cities.,որտեղ են ապրում մարդկանց մեծ մասը Ճապոնիայում:,Ճապոնիայի բնակիչների մեծ մասն ապրում է քաղաքներում կամ քաղաքներում:
in what country do they speak basque?,Spain,ո՞ր երկրում են բասկերեն խոսում:,Իսպանիա
where is belgium at?,Belgium is located in Europe.,որտեղ է գտնվում Բելգիան,Բելգիան գտնվում է Եվրոպայում։
what religions are in russia?,"The main religion in Russia is Russian Orthodox Christianity. Other religions practiced in Russia include Islam, Buddhism, Judaism, and various forms of Protestant Christianity.",ինչ կրոններ կան Ռուսաստանում,"Ռուսաստանում հիմնական կրոնը ռուս ուղղափառ քրիստոնեությունն է։ Ռուսաստանում կիրառվող այլ կրոնների թվում են իսլամը, բուդդիզմը, հուդայականությունը և բողոքական քրիստոնեության տարբեր ձևերը։"
what government system does north korea have?,North Korea has a communist government system.,ինչ կառավարման համակարգ ունի Հյուսիսային Կորեան:,Հյուսիսային Կորեան ունի կոմունիստական ​​կառավարման համակարգ։
what did einstein do?,Einstein was a theoretical physicist who developed the theory of relativity.,ինչ արեց Էյնշտեյնը,"Էյնշտեյնը տեսական ֆիզիկոս էր, ով մշակեց հարաբերականության տեսությունը։"
in what country is amsterdam?,The Netherlands.,ո՞ր երկրում է Ամստերդամը,Նիդերլանդներ.
what are the most common religions in the united states?,"Christianity, followed by Judaism, Islam, Hinduism, Buddhism, and others.",Որո՞նք են Միացյալ Նահանգներում ամենատարածված կրոնները:,"քրիստոնեությունը, որին հաջորդում են հուդայականությունը, իսլամը, հինդուիզմը, բուդդիզմը և այլն։"
what did martin luther king jr go to college for?,Martin Luther King Jr. went to college to study sociology and theology.,ինչի՞ համար է Մարտին Լյութեր Քինգ կրտսերը քոլեջ հաճախել:,Մարտին Լյութեր Քինգ կրտսերը գնաց քոլեջ՝ սովորելու սոցիոլոգիա և աստվածաբանություն։
where did sir ernest shackleton come from?,"Sir Ernest Shackleton was born in County Kildare, Ireland.",որտեղի՞ց է եկել սըր Էռնեստ Շեքլթոնը:,Սըր Էռնեստ Շեքլթոնը ծնվել է Իռլանդիայի Քիլդար կոմսությունում:
what made jimi hendrix great?,"Jimi Hendrix was great because of his exceptional guitar skills, innovative use of effects, and his unique style of blending rock, blues, and psychedelic music.",Ի՞նչը դարձրեց Ջիմի Հենդրիքսին հիանալի:,"Ջիմի Հենդրիքսը հիանալի էր կիթառի իր բացառիկ հմտությունների, էֆեկտների նորարարական օգտագործման և ռոքի, բլյուզի և փսիխոդելիկ երաժշտության միախառնման իր յուրահատուկ ոճի շնորհիվ:"
who did aaron rodgers play college football 4?,"Aaron Rodgers played college football for the University of California, Berkeley.",ո՞վ է Ահարոն Ռոջերսը քոլեջի ֆուտբոլ խաղալ 4:,Ահարոն Ռոջերսը քոլեջի ֆուտբոլ է խաղացել Բերկլիի Կալիֆոռնիայի համալսարանի համար:
who plays nathan scott?,James Lafferty,ով է խաղում Նաթան Սքոթին,Ջեյմս Լաֆերթի
when did the houston rockets win the championship?,The Houston Rockets won the NBA championship in 1994 and 1995.,Ե՞րբ են Հյուսթոն Ռոքեթսը հաղթել առաջնությունում:,Հյուսթոն Ռոքեթսը NBA-ի չեմպիոն է դարձել 1994 և 1995 թվականներին։
where is mount whitney?,"Mount Whitney is located in California, United States.",որտեղ է Ուիթնի լեռը,"Mount Whitney-ը գտնվում է Կալիֆոռնիայում, ԱՄՆ:"
who created the character of romeo?,William Shakespeare.,ով է ստեղծել Ռոմեոյի կերպարը:,Ուիլյամ Շեքսպիր.
what are some places to visit in new york?,"Some places to visit in New York are Times Square, Central Park, the Statue of Liberty, and the Metropolitan Museum of Art.",ինչ վայրեր կարելի է այցելել Նյու Յորքում:,"Նյու Յորքում այցելելու որոշ վայրեր են Թայմս Սքվերը, Կենտրոնական զբոսայգը, Ազատության արձանը և Մետրոպոլիտեն արվեստի թանգարանը:"
