question,question_concept,choices,answerKey,choice_A,choice_B,choice_C,choice_D,choice_E,question_arm,choice_A_arm,choice_B_arm,choice_C_arm,choice_D_arm,choice_E_arm,responses_en_ZS,responses_arm_ZS,response_en_OS,response_arm_OS,response_en_FS,response_arm_FS,response_arm_sys_ZS,response_arm_sys_OS,response_arm_sys_FS,responses_en_ZS_letter,responses_en_ZS_text,response_en_OS_letter,response_en_OS_text,response_en_FS_letter,response_en_FS_text,responses_arm_ZS_letter,responses_arm_ZS_text,response_arm_OS_letter,response_arm_OS_text,response_arm_FS_letter,response_arm_FS_text,response_arm_sys_ZS_letter,response_arm_sys_ZS_text,response_arm_sys_OS_letter,response_arm_sys_OS_text,response_arm_sys_FS_letter,response_arm_sys_FS_text
"Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?",driving,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deaths', 'moving', 'car wrecks', 'using gas', 'may die'],
      dtype=object)}",A,deaths,moving,car wrecks,using gas,may die,"Դեննին դասի ժամանակ վիճակագրություն էր ուսումնասիրում, և նա ինչ-որ անհանգստացնող բան էր վարում: Ինչի՞ զգալի քանակություն է առաջացնում:",մահվան դեպքեր | մահացություններ,շարժվող,մեքենաների բեկորներ,գազ օգտագործելով,կարող է մահանալ,C) car wrecks,E) կարող է մահանալ,A) deaths,A) մահվան դեպքեր | մահացություններ,A) deaths,E) կարող է մահանալ,C) Մեքենաների բեկորներ,Պատասխանը կարող է լինել C) մեքենաների բերում:,B) շարժվող,C,car wrecks,A,deaths,A,deaths,E,կարող է մահանալ,A,մահվան դեպքեր | մահացություններ,E,կարող է մահանալ,C,Մեքենաների բեկորներ,,մեքենաների բերում:,B,շարժվող
The video game featured an anger bar that you charged up to more easily do what?,anger,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['illustrate point', 'destroy enemy', 'cool off', 'write letter',
       'get drunk'], dtype=object)}",B,illustrate point,destroy enemy,cool off,write letter,get drunk,"Տեսախաղը ցուցադրում էր զայրույթի սանդղակը, որը դուք լիցքավորեցիք, որպեսզի ավելի հեշտությամբ ի՞նչ անեք:",լուսաբանել կետը,ոչնչացնել թշնամուն,զովանալ,նամակ գրել,հարբել,B) destroy enemy,C) զովանալ,B) destroy enemy,"Տեսախաղը ցուցադրում էր զայրույթի սանդղակը, որը դուք լիցքավորեցիք, որպեսզի ավելի հեշտությամբ ի՞նչ անեք:
Options:
A) տանել պոկեմոն
B) գցել ցույց
C) զովանալ
D) հետ գֆիրլանդ նետեքքայում
E) ֆերմոնային ձեռագրել",B) destroy enemy,A) լուսաբանել կետը,D) նամակ գրել,A) լուսաբանել կետը,C) զովանալ,B,destroy enemy,B,destroy enemy,B,destroy enemy,C,զովանալ,,"տանել պոկեմոն
B) գցել ցույց
C) զովանալ
D) հետ գֆիրլանդ նետեքքայում
E) ֆերմոնային ձեռագրել",A,լուսաբանել կետը,D,նամակ գրել,A,լուսաբանել կետը,C,զովանալ
Where would you use a changing room before gym?,changing room,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gym', 'clothing store', ""change baby's diaper"",
       'department store', 'schools'], dtype=object)}",E,gym,clothing store,change baby's diaper,department store,schools,Որտե՞ղ կօգտագործեիք հանդերձարան մարզասրահից առաջ:,մարզասրահ,հագուստի խանութ,փոխել երեխայի տակդիրը,հանրախանութ,դպրոցները,A) gym,A) մարզասրահ,B) clothing store,"Հարց: Որտե՞ղ կօգտագործեիք հանդերձարան մարզասրահից առաջ:
Տարբերակներ:
A) մարզասրահ
B) հագուստի խանութ
C) փոխել երեխայի տակդիրը
D) հանրախանութ
E) դպրոցները",B,A) մարզասրահ,Կեղծ պարգրություններ (իմացած նույնպես որոշումներից կախված թվարկումներով):,B,Հանդերձարան օգտագործելու համար մեզ պետք է օգտագործել հանրախանությունը (D)։,A,gym,B,clothing store,B,,A,մարզասրահ,,"մարզասրահ
B) հագուստի խանութ
C) փոխել երեխայի տակդիրը
D) հանրախանութ
E) դպրոցները",A,մարզասրահ,,:,B,,,։
The bird took flight by moving its what?,bird,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['two legs', 'feathers', 'entertain yourself', 'head', 'two wings'],
      dtype=object)}",E,two legs,feathers,entertain yourself,head,two wings,Թռչունը թռավ՝ շարժելով իր ի՞նչ:,երկու ոտք,փետուրներ,զվարճացնել ինքներդ,գլուխ,երկու թեւեր,E) two wings,D) գլուխ,B) feathers,A) երկու ոտք,B) feathers,"Q: Թռչունը թռավ՝ շարժելով իր ի՞նչ:

Options:
A) երկու ոտք
B) փետուրներ
C) զվարճացնել ինքներդ
D) գլուխ
E) երկու թեւեր",A) երկու ոտք,A) երկու ոտք,B) փետուրներ,E,two wings,B,feathers,B,feathers,D,գլուխ,A,երկու ոտք,,"երկու ոտք
B) փետուրներ
C) զվարճացնել ինքներդ
D) գլուխ
E) երկու թեւեր",A,երկու ոտք,A,երկու ոտք,B,փետուրներ
A human wants to go shopping in a dense urban area.  Where might be a good place for a person to go shopping?,human,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['detroit', 'elevator', 'workplace', 'downtown', 'mall'],
      dtype=object)}",D,detroit,elevator,workplace,downtown,mall,Մարդը ցանկանում է գնումներ կատարել խիտ քաղաքային տարածքում: Որտե՞ղ կարող է լավ տեղ լինել մարդու համար գնումներ կատարելու համար:,դետրոյթ,վերելակ,աշխատավայր,քաղաքի կենտրոնում,մոլ,D) downtown,C) աշխատավայր,D) downtown,A) դետրոյթ,D) downtown,C) աշխատավայր,A) դետրոյթ,Պատասխանը ՝ B)'վերելակ' է։,C) աշխատավայր,D,downtown,D,downtown,D,downtown,C,աշխատավայր,A,դետրոյթ,C,աշխատավայր,A,դետրոյթ,,'վերելակ' է։,C,աշխատավայր
"It could have been a beautiful day, but what did the overcast sky do to the color?",beautiful,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bee utiful', 'ugly', 'dull', 'plain', 'wet'], dtype=object)}",C,bee utiful,ugly,dull,plain,wet,"Կարող էր գեղեցիկ օր լինել, բայց ի՞նչ արեց ամպամած երկինքը գույնի հետ։",bee օգտակար,տգեղ,ձանձրալի,պարզ,թաց,C) dull,D) պարզ,C) dull,"Հարցը հարկավորին բավարարապես տեսնում է այն ի՞նչ արեց ամպամած երկինքը գույնի հետ։ Մինչդեռ չես տվյալներից որոշման չունենալ, դուրս գրված այլ կարգով հարկավորին պետք է գումարես։ Այսինքն, ազդեցություններից առաջինը (A) և երկրորդը (B) չեն ճիշտ պատասխաններն են, ուստի թվարկեք հարկավարելու կարևորագույն գույնը։",C) dull,C) ձանձրալի,"Երբ ամենահամապատասխան տարբերակը երբեք չի կազմում պատասխանի մասին տեղեկություն, դուք կարող եք ընդունել ""E"" պատասխանը, որ նշանակում է, որ քո դատարանը ընտրում է այլ տարբերակը։",A) bee օգտակար,C) ձանձրալի,C,dull,C,dull,C,dull,D,պարզ,,"և երկրորդը (B) չեն ճիշտ պատասխաններն են, ուստի թվարկեք հարկավարելու կարևորագույն գույնը։",C,ձանձրալի,,,A,bee օգտակար,C,ձանձրալի
Where will any tearoom be?,tearoom,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['building', 'london', 'england', 'boston ship harbor',
       'restaurant'], dtype=object)}",A,building,london,england,boston ship harbor,restaurant,Որտեղ կլինի ցանկացած թեյարան:,շինություն,Լոնդոն,անգլիա,Բոստոնի նավահանգիստ,ռեստորան,E) restaurant,E) ռեստորան,A) building,Լոնդոն,A) building,A) շինություն,"Դուք կարող եք ընտրել հետևյալ տարբերակներից՝

A) շինություն
B) Լոնդոն
C) անգլիա
D) Բոստոնի նավահանգիստ
E) ռեստորան","Պատասխանը կազմված է 'B' տառից, որը ունի ասորված հիմանով:",D) Բոստոնի նավահանգիստ,E,restaurant,A,building,A,building,E,ռեստորան,,,A,շինություն,,"շինություն
B) Լոնդոն
C) անգլիա
D) Բոստոնի նավահանգիստ
E) ռեստորան",,,D,Բոստոնի նավահանգիստ
"If you are deep in a cave, what would you follow to find your way out?",deep,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deepfelt', 'light', 'high', 'frivolous', 'mountain'], dtype=object)}",B,deepfelt,light,high,frivolous,mountain,"Եթե ​​դուք գտնվում եք քարանձավի խորքում, ինչի՞ կհետևեիք՝ ելք գտնելու համար:",խորը զգացված,լույս,բարձր,անլուրջ,լեռ,B) light,E) լեռ,B) light,A) խորը զգացված,B) light,D) անլուրջ,"Եթե ​​դարձնենք, որ գնալը անում եք երկրաշարժման տերմինալի, լայնորեն հատուկ նշանակություն ունեցող պրոֆեսիոնալ թագուհին է։ A, Բ) Հուսարակալիների մեջ C, D) Քույր է դատարապետ",D,A,B,light,B,light,B,light,E,լեռ,A,խորը զգացված,D,անլուրջ,,"Հուսարակալիների մեջ C, D) Քույր է դատարապետ",D,,A,
"When playing baseball they keep track of mistakes, this stat is called what?",playing baseball,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happiness', 'sore muscles', 'injury', 'perfection', 'errors'],
      dtype=object)}",E,happiness,sore muscles,injury,perfection,errors,"Բեյսբոլ խաղալիս նրանք հետևում են սխալներին, ի՞նչ է կոչվում այս վիճակագրությունը:",երջանկություն,ցավոտ մկաններ,վնասվածք,կատարելություն,սխալներ,E) errors,D) կատարելություն,D) perfection,Դ) կատարելություն,D) perfection,C) վնասվածք,B) ցավոտ մկաններ,"Երբ ցանկանում ես փողոցն ապահով անցնել լուսացույցի լույսի տակ, ո՞ր լույսին պետք է սպասել անցնելուց առաջ։ Առաջին պատասխանը բառարանի A տառով սկսվում է։",E) սխալներ,E,errors,D,perfection,D,perfection,D,կատարելություն,,կատարելություն,C,վնասվածք,B,ցավոտ մկաններ,,,E,սխալներ
"When people want to watch a new move, the often go see it at the?",people,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['town', 'conference', 'bathroom', 'theater', 'train station'],
      dtype=object)}",D,town,conference,bathroom,theater,train station,"Երբ մարդիկ ցանկանում են դիտել նոր քայլը, հաճախ են գնում տեսնել այն:",քաղաք,համաժողով,սանհանգույց,թատրոն,կայարան,D) theater,C) սանհանգույց,D) theater,A) քաղաք,D) theater,"Q: Երբ մարդիկ ցանկանում են դիտել նոր քայլը, հաճախ են գնում տեսնել այն:
A) քաղաք
B) համաժողով
C) սանհանգույց
D) թատրոն
E) կայարան",A) քաղաք,A) քաղաք,B) համաժողով,D,theater,D,theater,D,theater,C,սանհանգույց,A,քաղաք,,"քաղաք
B) համաժողով
C) սանհանգույց
D) թատրոն
E) կայարան",A,քաղաք,A,քաղաք,B,համաժողով
What is the goal of a poor person having food?,having food,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['digesting', 'being full', 'will not starve', 'survive',
       'getting fat'], dtype=object)}",C,digesting,being full,will not starve,survive,getting fat,Ո՞րն է աղքատի կերակուր ունենալու նպատակը:,մարսող,լցված լինելը,սովից չի մեռնի,գոյատեւել,գիրանալը,D) survive,A) մարսող,D) survive,Դ) գոյատեւել,D) survive,"Q: Ո՞րն է աղքատի կերակուր ունենալու նպատակը:
A) մարսող
B) լցված լինելը
C) սովից չի մեռնի
D) գոյատեւել
E) գիրանալը",D) գոյատեւել,A) Մարսող,B) լցված լինելը,D,survive,D,survive,D,survive,A,մարսող,,գոյատեւել,,"մարսող
B) լցված լինելը
C) սովից չի մեռնի
D) գոյատեւել
E) գիրանալը",D,գոյատեւել,A,Մարսող,B,լցված լինելը
When james was climbing he experiences a couple of symptoms.  The most painful and long lasting was on his hands.   What  might have happened to him?,climbing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['calluses', 'loss of oxygen', 'vertigo', 'ascending', 'blisters'],
      dtype=object)}",E,calluses,loss of oxygen,vertigo,ascending,blisters,"Երբ Ջեյմսը բարձրանում էր, նա մի քանի ախտանիշ է զգում. Ամենացավալին ու երկարատևը նրա ձեռքերին էր։ Ի՞նչ կարող էր պատահել նրա հետ։",կոշտուկներ,թթվածնի կորուստ,գլխապտույտ,բարձրացող,բշտիկները,E) blisters,D) բարձրացող,A) calluses,"Փողոցն ապահով անցնելուց առաջ էլ պետք էր սպասել անցվելուց, ընթերցողները պատասխանվում են ո՞ր լույսին։",A) calluses,D) բարձրացող,C) գլխապտույտ,"Հարց: Երբ ցանկանում ես փողոցն ապահով անցնել լուսացույցի լույսի տակ, ո՞ր լույսին պետք է սպասել անցնելուց առաջ։

Տարբերակներ:
A) Կարմիր լույսին հետիոտների համար։
B) Կանաչ լույսին հետիոտների համար։
C) Դեղին լույսին մեքենաների համար։
D) Կարմիր լուսին մեքենաների համար։
E) Կանաչ լույսին մեքենաների համար։

Պատասխանը պետք է լինի A",C) գլխապտույտ,E,blisters,A,calluses,A,calluses,D,բարձրացող,,,D,բարձրացող,C,գլխապտույտ,,"Կարմիր լույսին հետիոտների համար։
B) Կանաչ լույսին հետիոտների համար։
C) Դեղին լույսին մեքենաների համար։
D) Կարմիր լուսին մեքենաների համար։
E) Կանաչ լույսին մեքենաների համար։

Պատասխանը պետք է լինի A",C,գլխապտույտ
What do cats like to hug when they are peeking at birds?,cat,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['floor', 'ground', 'warm bed', 'sand box', 'window'], dtype=object)}",B,floor,ground,warm bed,sand box,window,"Ի՞նչ են սիրում գրկել կատուները, երբ նայում են թռչուններին:",հատակ,գետնին,տաք մահճակալ,ավազի տուփ,պատուհան,E) window,B) գետնին,E) window,A) հատակ,E) window,C) տաք մահճակալ,A) հատակ,Պատասխանը կազմված է 'C' տառից։,B) գետնին,E,window,E,window,E,window,B,գետնին,A,հատակ,C,տաք մահճակալ,A,հատակ,,,B,գետնին
John spent too much money buying products for his swollen testicles.  He did so because he was feeling what?,buying products,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'delight', 'bankruptcy', 'agony', 'owning'],
      dtype=object)}",D,pleasure,delight,bankruptcy,agony,owning,"Ջոնը չափազանց մեծ գումար է ծախսել իր այտուցված ամորձիների համար ապրանքներ գնելու համար: Նա դա արեց, քանի որ ինչ էր զգում:",հաճույք,հրճվանք,սնանկություն,տառապանք,սեփականություն,D) agony,D) տառապանք,D) agony,"Հարց: Ջոնը չափազանց մեծ գումար է ծախսել իր այտուցված ամորձիների համար ապրանքներ գնելու համար: Նա դա արեց, քանի որ ինչ էր զգում։
Տարբերակներ:
A) գումարում
B) հաշվարկում
C) թափաստանում
D) կրեցիներ
E) գնանք",D) agony,B) հրճվանք,C) սնանկություն,"Ջոնը գումար է ծախսել իր այտուցված ամորձիների համար ապրանքներ գնելու համար, ընթացքում որոշակի բաների վրա և չի հաղթելու։ Սեփականությունն է՝ E",B) հրճվանք,D,agony,D,agony,D,agony,D,տառապանք,,"գումարում
B) հաշվարկում
C) թափաստանում
D) կրեցիներ
E) գնանք",B,հրճվանք,C,սնանկություն,,,B,հրճվանք
"The small dog always picked up the newspaper from the driveway, where did the dog live?",small dog,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nursing home', 'dog show', 'apart', 'suburb', 'own house'],
      dtype=object)}",D,nursing home,dog show,apart,suburb,own house,"Փոքրիկ շունը միշտ թերթը վերցնում էր ճանապարհից, որտեղ էր ապրում շունը:",ծերանոց,շների ցուցադրություն,բացի,արվարձան,սեփական տուն,E) own house,B) շների ցուցադրություն,E) own house,"Հարց: Փոքրիկ շունը միշտ թերթը վերցնում էր ճանապարհից, որտեղ էր ապրում շունը:
Տարբերակներ:
A) նկարագրածը երեքը
B) ծանոթացիներից մեկով
C) բացատանիշը
D) նշանակալը
E) ընդհանիներից մեկով",D) suburb,C) բացի,A) ծերանոց,Հարցը պետք է լինի A) ծերանոցը,C) բացի,E,own house,E,own house,D,suburb,B,շների ցուցադրություն,,"նկարագրածը երեքը
B) ծանոթացիներից մեկով
C) բացատանիշը
D) նշանակալը
E) ընդհանիներից մեկով",C,բացի,A,ծերանոց,,ծերանոցը,C,բացի
"The bachelor was too lazy to take the groceries out of the shopping bag, he just put the full bags right in his pantry what?",shopping bag,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['retail store', 'refrigerator', 'supermarket', 'car trunk',
       'storage cabinet'], dtype=object)}",E,retail store,refrigerator,supermarket,car trunk,storage cabinet,"Ամուրին շատ ծույլ էր գնումների պայուսակից հանել մթերքները, նա ուղղակի լցրեց պայուսակները հենց իր մառանը:",մանրածախ խանութ,սառնարան,սուպերմարկետ,մեքենայի բեռնախցիկ,պահեստային պահարան,E) storage cabinet,B) սառնարան,E) storage cabinet,"Միայն սառնարանը կարող է պահանջվել, քանի որ մթերքները սպասում են ցանկացած համար ապահով գնումներից շուտ: Պայուսակները չեն պատրաստվում իրականացնելուց առաջ: Մեքենայի բեռնախցիկը չի հասանելի, մանրածախ խանութը չի ներկայացնում այլ պահուների հնարքից հետո, սուպերմարկետները չեն ունենարարվում ծույլ կրելու համար: Իսկ սառնարանում ամուրն հաճելի է աճելու մթերքները, հետապնդում առանց հետապնդումների: Այդ պատճառով, ամուրը սառնարանների մեջ է՝ գտնվելով ամբողջ գտավիկների և մթերքների հետ միասին: Այսպիսով, պայուսակը կարող է մտածել, թե ամուրը շատերորդ գնումների ժամանակ ապահով թոռնելուց հետո չէին մթերքները բացակայությեն: Ուրեմն, որպեսզի պատասխանատված լինենք հարցը, ամպերը վերբեռնելու ծանուցումը գումարեցինք: Բայց թոռնելուց հետո միայն սուպերմարկետները են ծախված և բաց են հանդեպ սառնարանից: Այսինքն, պայուսակից առաջինը և միայն ճիշտը պատասխանում է իրարից։",E) storage cabinet,"Հարց. Ամուրին շատ ծույլ էր գնումների պայուսակից հանել մթերքները, նա ուղղակի լցրեց պայուսակները հենց իր մառանը:

Տարբերակներ.
A) մանրածախ խանութ
B) սառնարան
C) սուպերմարկետ
D) մեքենայի բեռնախցիկ
E) պահեստային պահարան",A) մանրածախ խանութ,B) սառնարան,B) սառնարան,E,storage cabinet,E,storage cabinet,E,storage cabinet,B,սառնարան,,,,"մանրածախ խանութ
B) սառնարան
C) սուպերմարկետ
D) մեքենայի բեռնախցիկ
E) պահեստային պահարան",A,մանրածախ խանութ,B,սառնարան,B,սառնարան
Behind what small door are canned goods usually kept in?,canned goods,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', 'pantry', 'kitchen', 'cupboard', 'shelf'], dtype=object)}",D,cabinet,pantry,kitchen,cupboard,shelf,Ո՞ր փոքրիկ դռան հետևում են սովորաբար պահածոներ պահում:,կաբինետ,մառան,խոհանոց,պահարանը,դարակ,E) shelf,D) պահարանը,D) cupboard,"Q: Ո՞ր փոքրիկ դռան հետևում են սովորաբար պահածոներ պահում:

A) կաբինետ
B) մառան
C) խոհանոց
D) պահարանը
E) դարակ",D) cupboard,"Q: Ո՞ր փոքրիկ դռան հետևում են սովորաբար պահածոներ պահում:
Options:
A) կաբինետ
B) մառան
C) խոհանոց
D) պահարանը
E) դարակ",C) խոհանոց,Պատասխանը պետք է լինի D) պահարանը,B,E,shelf,D,cupboard,D,cupboard,D,պահարանը,,"կաբինետ
B) մառան
C) խոհանոց
D) պահարանը
E) դարակ",,"կաբինետ
B) մառան
C) խոհանոց
D) պահարանը
E) դարակ",C,խոհանոց,,պահարանը,B,
"Mary wasn't familiar with James, so she wasn't comfortable speaking with him. How might she come off?",familiar,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cold', 'unfamiliar', 'unknown', 'unacquainted', 'shy'],
      dtype=object)}",A,cold,unfamiliar,unknown,unacquainted,shy,"Մերին ծանոթ չէր Ջեյմսի հետ, ուստի հարմար չէր նրա հետ խոսել: Ինչպե՞ս կարող է նա դուրս գալ:",ցուրտ,անծանոթ,անհայտ,անծանոթ,ամաչկոտ,A) cold,D) անծանոթ,A) cold,"Since Mary was not familiar with James, it is logical that she did not talk to him. Therefore, the most suitable option would be B) անծանոթ (unfamiliar).",A) cold,"Q: Մերին ծանոթ չէր Ջեյմսի հետ, ուստի հարմար չէր նրա հետ խոսել: Ինչպե՞ս կարող է նա դուրս գալ:
Options:
A) ցուրտ
B) անծանոթ
C) անհայտ
D) անծանոթ
E) ամաչկոտ","Բարեւ, ձեր հարցը վստահ է։ Հրամանը այսպիսի կատարումն է՝ B) անծանոթ։",A) ցուրտ,E,A,cold,A,cold,A,cold,D,անծանոթ,,անծանոթ (unfamiliar).,,"ցուրտ
B) անծանոթ
C) անհայտ
D) անծանոթ
E) ամաչկոտ",,անծանոթ։,A,ցուրտ,E,
"American humans just graduated high school, where are many of them bound?",humans,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['university', 'park', 'unemployment', 'cafe', 'movies'],
      dtype=object)}",A,university,park,unemployment,cafe,movies,"Ամերիկացի մարդիկ նոր են ավարտել միջնակարգ դպրոցը, որտեղ են նրանցից շատերը կապված:",համալսարան,այգի,գործազրկություն,սրճարան,Ֆիլմեր,A) university,A) համալսարան,A) university,"Q: Ամերիկացի մարդիկ նոր են ավարտել միջնակարգ դպրոցը, որտեղ են նրանցից շատերը կապված:
A) համալսարան
B) այգի
C) գործազրկություն
D) սրճարան
E) Ֆիլմեր",A) university,A) համալսարան,B) այգի,C,B) այգի,A,university,A,university,A,university,A,համալսարան,,"համալսարան
B) այգի
C) գործազրկություն
D) սրճարան
E) Ֆիլմեր",A,համալսարան,B,այգի,C,,B,այգի
James was a weasel.  He lived in a warm place where he was surrounded by children.  Glass separated him from the  outside world.  He rested comfortably in his what?,weasel,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['law firm', 'zoo', 'classroom', 'forrest', 'terrarium'],
      dtype=object)}",E,law firm,zoo,classroom,forrest,terrarium,"Ջեյմսը աքիս էր։ Նա ապրում էր տաք տեղում, որտեղ շրջապատված էր երեխաներով։ Ապակին նրան բաժանեց արտաքին աշխարհից։ Նա հարմարավետ հանգստացավ իր ինչի մեջ:",իրավաբանական ընկերություն,գազանանոց,դասարան,անտառ,տերարիում,E) terrarium,A) իրավաբանական ընկերություն,B) zoo,Բ,E) terrarium,D) անտառ,A) իրավաբանական ընկերություն,Պատասխանը պետք է լինի B) գազանանոց,E,E,terrarium,B,zoo,E,terrarium,A,իրավաբանական ընկերություն,,,D,անտառ,A,իրավաբանական ընկերություն,,գազանանոց,E,
Where is known to always have snow?,snow,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['africa', 'north pole', 'roof', 'canada', 'surface of earth'],
      dtype=object)}",B,africa,north pole,roof,canada,surface of earth,"Որտեղ է հայտնի, որ միշտ ձյուն է գալիս:",աֆրիկան,Հյուսիսային բեւեռ,տանիքը,Կանադա,երկրի մակերեսը,B) north pole,C) տանիքը,D) canada,"Q: Որտեղ է հայտնի, որ միշտ ձյուն է գալիս?
Options:
A) աֆրիկան
B) Հյուսիսային բեւեռ
C) տանիքը
D) Կանադա
E) երկրի մակերեսը",D) canada,C) տանիքը,Մակերեսը A) Աֆրիկան B) Հյուսիսային բեւեռ C) Տանիքը D) Կանադա E) Երկրի ընդլայնությունը,A) աֆրիկան,B) Հյուսիսային բեւեռ,B,north pole,D,canada,D,canada,C,տանիքը,,"աֆրիկան
B) Հյուսիսային բեւեռ
C) տանիքը
D) Կանադա
E) երկրի մակերեսը",C,տանիքը,,Աֆրիկան B) Հյուսիսային բեւեռ C) Տանիքը D) Կանադա E) Երկրի ընդլայնությունը,A,աֆրիկան,B,Հյուսիսային բեւեռ
What will happen to you if you are staying healthy?,staying healthy,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['injury', 'happiness', 'long life', 'a long nose', 'envy'],
      dtype=object)}",C,injury,happiness,long life,a long nose,envy,"Ի՞նչ կլինի ձեզ հետ, եթե առողջ մնաք:",վնասվածք,երջանկություն,երկար կյանք,երկար քիթ,նախանձ,C) long life,A) վնասվածք,C) long life,"Հարց: Ի՞նչ կլինի ձեզ հետ, եթե առողջ մնաք:
Տարբերակներ:
A) վնասվածք
B) երջանկություն
C) երկար կյանք
D) երկար քիթ
E) նախանձ",C) long life,C) երկար կյանք,Երջանկության։,A) վնասվածք,B) երջանկություն,C,long life,C,long life,C,long life,A,վնասվածք,,"վնասվածք
B) երջանկություն
C) երկար կյանք
D) երկար քիթ
E) նախանձ",C,երկար կյանք,,,A,վնասվածք,B,երջանկություն
Where do students use a pen?,pen,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""friend's house"", 'paper', 'office supply store', 'pocket',
       'classroom'], dtype=object)}",E,friend's house,paper,office supply store,pocket,classroom,Որտե՞ղ են ուսանողները գրիչ օգտագործում:,ընկերոջ տուն,թուղթ,գրասենյակային պարագաների խանութ,գրպան,դասարան,E) classroom,B) թուղթ,B) paper,"Հարց: Որտե՞ղ են ուսանողները գրիչ օգտագործում:
Տարբերակներ:
A) ընկերոջ տուն
B) թուղթ
C) գրասենյակային պարագաների խանութ
D) գրպան
E) դասարան",B) paper,"Հարց. Որտե՞ղ են ուսանողները գրիչ օգտագործում:

Տարբերակներ.
A) ընկերոջ տուն
B) թուղթ
C) գրասենյակային պարագաների խանութ
D) գրպան
E) դասարան

E","Ծանոթացի, մինչև այստեղ գրածը նվազագույնն է, որովհետեւ պարունակում ենք երկու անգամ հարցը՝ ամենահամապատասխան տարբերակը վերաբերում ամենամտածված տարբերակի։ A՝",A) ընկերոջ տուն,D) գրպան,E,classroom,B,paper,B,paper,B,թուղթ,,"ընկերոջ տուն
B) թուղթ
C) գրասենյակային պարագաների խանութ
D) գրպան
E) դասարան",,"ընկերոջ տուն
B) թուղթ
C) գրասենյակային պարագաների խանութ
D) գրպան
E) դասարան

E",,,A,ընկերոջ տուն,D,գրպան
